,Player,From / To,Date,Price
0,Demi Akarakiri,"Arsenal
Everton",12-04-2024,Free
1,"Kain Ryan
D (L)","Brighton
Coventry",11-03-2024,Free
2,Nicksoen Gomis,"Sheff Utd
Toronto",23-02-2024,Free
3,"Richie Laryea
D (R), M (CL)","Nottingham
Toronto",23-02-2024,€0.7M
4,"Bruno Jordão
DM, M (C)","Wolverhampton
Radomiak",06-02-2024,Free
5,"Charlie Wiggett
D (C)","Newcastle Utd.
Sligo",02-02-2024,Free
6,"Serge Aurier
D (R)","Nottingham
Galatasaray",02-02-2024,€0.1M
7,"Alfie Harrison
M (C)","Man City
Newcastle Utd.",01-02-2024,€1M
8,"Bertrand Traoré
F, M (R)","Aston Villa
Villarreal",01-02-2024,Free
9,"Matz Sels
GK","Strasbourg
Nottingham",01-02-2024,€8M
10,"John Fleck
M (C)","Sheff Utd
Blackburn",01-02-2024,Free
11,"Thierry Small
D, M (L)","Southampton
Charlton Athletic",01-02-2024,Free
12,"Adam Wharton
M, DM (C)","Blackburn
C. Palace",01-02-2024,€21.1M
13,"Joe Gauci
GK","Adelaide
Aston Villa",01-02-2024,€1.5M
14,"Theo Corbeanu
F (R), M (RL)","Wolverhampton
Granada",01-02-2024,€1.5M
15,"Morgan Rogers
M (CL)","Middlesbrough
Aston Villa",01-02-2024,€9.4M
16,"Pablo Fornals
AM (C), M (RL)","West Ham United
Real Betis",01-02-2024,€8M
17,"Isak Hansen-Aarøen
M (C)","Man Utd
Werder",01-02-2024,€0.3M
18,"Rúnar Alex Rúnarsson
GK","Arsenal
Kobenhavn",01-02-2024,Free
19,"Miguel Azeez
M (C)","Arsenal
At. Baleares",01-02-2024,Free
20,"Hugo Lloris
GK","Tottenham
LAFC",31-01-2024,Free
21,"Zack Steffen
GK","Man City
Colorado",31-01-2024,Free
22,"Daniel Muñoz
D, M (R)","Genk
C. Palace",30-01-2024,€8M
23,"Daiki Hashioka
D, M (R)","Sint-Truiden
Luton",30-01-2024,€2M
24,"Jonny Otto
D (RL)","Wolverhampton
PAOK",26-01-2024,Free
25,"Hákon Rafn Valdimarsson
GK","Elfsborg
Brentford",26-01-2024,€3M
26,"Ivo Grbic
GK","Atlético
Sheff Utd",26-01-2024,€2.5M
27,"Sam Curtis
D (CR), M (R)","St Patrick`s
Sheff Utd",25-01-2024,Free
28,"Claudio Echeverri
AM, M (C)","River Plate
Man City",25-01-2024,€18.5M
29,"Jez Davies
M (C)","Burnley
Salford",24-01-2024,Free
30,"Billy Bates
D (C)","West Ham United
Cheshunt FC",23-01-2024,Free
