Player,From / To,Date,Price
Demi Akarakiri,Arsenal / Everton,12-04-2024,0.0
Kain Ryan,Brighton / Coventry,11-03-2024,0.0
Nicksoen Gomis,Sheff Utd / Toronto,23-02-2024,0.0
Richie Laryea,Nottingham / Toronto,23-02-2024,700000.0
Bruno Jordão,Wolverhampton / Radomiak,06-02-2024,0.0
Charlie Wiggett,Newcastle Utd. / Sligo,02-02-2024,0.0
Serge Aurier,Nottingham / Galatasaray,02-02-2024,100000.0
Alfie Harrison,Man City / Newcastle Utd.,01-02-2024,1000000.0
Bertrand Traoré,Aston Villa / Villarreal,01-02-2024,0.0
Matz Sels,Strasbourg / Nottingham,01-02-2024,8000000.0
John Fleck,Sheff Utd / Blackburn,01-02-2024,0.0
Thierry Small,Southampton / Charlton Athletic,01-02-2024,0.0
Adam Wharton,Blackburn / C. Palace,01-02-2024,21100000.0
Joe Gauci,Adelaide / Aston Villa,01-02-2024,1500000.0
Theo Corbeanu,Wolverhampton / Granada,01-02-2024,1500000.0
Morgan Rogers,Middlesbrough / Aston Villa,01-02-2024,9400000.0
Pablo Fornals,West Ham United / Real Betis,01-02-2024,8000000.0
Isak Hansen-Aarøen,Man Utd / Werder,01-02-2024,300000.0
Rúnar Alex Rúnarsson,Arsenal / Kobenhavn,01-02-2024,0.0
Miguel Azeez,Arsenal / At. Baleares,01-02-2024,0.0
Hugo Lloris,Tottenham / LAFC,31-01-2024,0.0
Zack Steffen,Man City / Colorado,31-01-2024,0.0
Daniel Muñoz,Genk / C. Palace,30-01-2024,8000000.0
Daiki Hashioka,Sint-Truiden / Luton,30-01-2024,2000000.0
Jonny Otto,Wolverhampton / PAOK,26-01-2024,0.0
Hákon Rafn Valdimarsson,Elfsborg / Brentford,26-01-2024,3000000.0
Ivo Grbic,Atlético / Sheff Utd,26-01-2024,2500000.0
Sam Curtis,St Patrick`s / Sheff Utd,25-01-2024,0.0
Claudio Echeverri,River Plate / Man City,25-01-2024,18500000.0
Jez Davies,Burnley / Salford,24-01-2024,0.0
Billy Bates,West Ham United / Cheshunt FC,23-01-2024,0.0
Kosta Nedeljkovic,Crvena Zvezda / Aston Villa,22-01-2024,7600000.0
Javier Manquillo,Newcastle Utd. / Celta,21-01-2024,0.0
Valentín Barco,Boca Juniors / Brighton,20-01-2024,9200000.0
Archie Woods,West Ham United / Dubai City FC,19-01-2024,0.0
Slobodan Tedic,Man City / Cukaricki,19-01-2024,0.0
Mateo Mejía,Man Utd / Sevilla,18-01-2024,0.0
Kyle Edwards,Ipswich Town / Oxford,16-01-2024,0.0
Caolan McBride,Aston Villa / Newington FC,13-01-2024,0.0
Conor Coventry,West Ham United / Charlton Athletic,12-01-2024,1200000.0
Yunus Emre Konak,Sivasspor / Brentford,11-01-2024,4500000.0
Radu Drăgușin,Genoa / Tottenham,11-01-2024,25000000.0
Gustavo Scarpa,Nottingham / Atletico Mineiro,11-01-2024,5000000.0
Finn Azaz,Aston Villa / Middlesbrough,05-01-2024,2900000.0
Nahuel Ferraresi,Man City / Sao Paulo,01-01-2024,4300000.0
Ethan Fitzhugh,Leicester / Banbury United,04-01-2024,0.0
Adrian Mazilu,Viitorul / Brighton,01-01-2024,3000000.0
Jean-Pierre Tiéhi,Fulham / AEK,01-07-2023,0.0
Evan Easton,Celtic / Sheff Utd,11-09-2023,0.0
Marcelo Flores,Arsenal / Tigres,10-09-2023,800000.0
Nicolas Pépé,Arsenal / Trabzonspor,08-09-2023,0.0
Christian Marques,Wolverhampton / Yverdon,07-09-2023,0.0
Demarai Gray,Everton / Al-Ettifaq,07-09-2023,9300000.0
Moussa Djenepo,Southampton / Standard,05-09-2023,3500000.0
Andi Zeqiri,Brighton / Genk,05-09-2023,2800000.0
Declan Frith,Aston Villa / Valencia,04-09-2023,0.0
Eric Bailly,Man Utd / Besiktas,04-09-2023,0.0
Davinson Sánchez,Tottenham / Galatasaray,04-09-2023,9500000.0
Dylan Scicluna,Wolverhampton / West Sydney,03-09-2023,0.0
Anthony Knockaert,Fulham / Valenciennes,02-09-2023,0.0
Malik Mothersille,Chelsea / Peterborough,01-09-2023,0.0
Alex Gibson-Hammond,Nottingham / Derby,01-09-2023,0.0
Vicente Guaita,C. Palace / Celta,01-09-2023,0.0
Kalani Barton,C. Palace / Leatherhead FC,01-09-2023,0.0
Tom Cannon,Everton / Leicester,01-09-2023,8800000.0
Jaden Philogene,Aston Villa / Hull City,01-09-2023,5800000.0
Andrew Omobamidele,Norwich / Nottingham,01-09-2023,12900000.0
Nicolás Domínguez,Bologna / Nottingham,01-09-2023,10000000.0
Jean-Ricner Bellegarde,Strasbourg / Wolverhampton,01-09-2023,15000000.0
Ross Stewart,Sunderland / Southampton,01-09-2023,9300000.0
Alex Iwobi,Everton / Fulham,01-09-2023,25700000.0
Ibrahim Sangaré,PSV / Nottingham,01-09-2023,35000000.0
Rob Holding,Arsenal / C. Palace,01-09-2023,1200000.0
Brennan Johnson,Nottingham / Tottenham,01-09-2023,55000000.0
Odysseas Vlachodimos,Benfica / Nottingham,01-09-2023,4900000.0
Ryan Gravenberch,Bayern / Liverpool,01-09-2023,40000000.0
Cole Palmer,Man City / Chelsea,01-09-2023,47000000.0
Callum Hudson-Odoi,Chelsea / Nottingham,01-09-2023,3500000.0
Altay Bayindir,Fenerbahce / Man Utd,01-09-2023,5000000.0
Keinan Davis,Aston Villa / Udinese,01-09-2023,2300000.0
Matheus Nunes,Wolverhampton / Man City,01-09-2023,62000000.0
Mikki van Sas,Man City / Feyenoord,01-07-2023,0.0
Brad Young,Aston Villa / The New Saints,01-07-2023,0.0
Silko Thomas,Chelsea / Leicester,01-07-2023,0.0
Jamal Baptiste,West Ham United / Man City,01-07-2023,0.0
Jayden Wareham,Chelsea / Reading,01-07-2023,0.0
Charlie Wellens,Man Utd / Reading,01-07-2023,0.0
Murillo,Corinthians / Nottingham,31-08-2023,12000000.0
Han-Noah Massengo,Bristol City / Burnley,31-08-2023,0.0
Santiago Bueno,Girona / Wolverhampton,31-08-2023,12000000.0
Tiemoué Bakayoko,Chelsea / Lorient,31-08-2023,0.0
Andy Irving,Austria / West Ham United,31-08-2023,1800000.0
Dean Henderson,Man Utd / C. Palace,31-08-2023,17500000.0
Toby Bull,Brighton / Eastbourne Town,30-08-2023,0.0
Steven Benda,Swansea / Fulham,30-08-2023,900000.0
Folarin Balogun,Arsenal / Monaco,30-08-2023,30000000.0
Beto,Udinese / Everton,29-08-2023,25000000.0
Carlos Baleba,Lille / Brighton,29-08-2023,27000000.0
Timothy Castagne,Leicester / Fulham,29-08-2023,13000000.0
Roy Syla,Brentford / Ayr United,01-07-2023,0.0
Dan Langley,Newcastle Utd. / Blyth Spartans AFC,28-08-2023,0.0
Cameron Archer,Aston Villa / Sheff Utd,27-08-2023,21600000.0
Nathan Tella,Southampton / Bayer 04,27-08-2023,23300000.0
Mohammed Kudus,Ajax / West Ham United,27-08-2023,43000000.0
Steven Sessegnon,Fulham / Wigan,26-08-2023,0.0
Djordje Petrovic,New England Rev. / Chelsea,26-08-2023,16000000.0
Avan Jones,Luton / Chesham United,01-07-2023,0.0
Kane Draper,Nottingham / Pontypridd United,25-08-2023,0.0
Terell Pennant,Leicester / Coalville Town,25-08-2023,0.0
Mohamed Dräger,Nottingham / Basel,25-08-2023,400000.0
João Moutinho,Wolverhampton / Sporting Braga,01-07-2023,0.0
Ruben Shakpoke,Aston Villa / West Bromwich,24-08-2023,0.0
Noam Emeran,Man Utd / Groningen,24-08-2023,0.0
Roshaun Mathurin,Tottenham / C. Palace,24-08-2023,0.0
David Omilabu,C. Palace / Maidenhead United,24-08-2023,0.0
Jérémy Doku,Stade Rennais / Man City,24-08-2023,60000000.0
Aymeric Laporte,Man City / Al-Nassr,24-08-2023,27500000.0
Matt Everitt,Brighton / Dorking Wanderers,01-07-2023,0.0
Sam Bellis,Southampton / Barrow,23-08-2023,0.0
Rowan McDonald,Man City / Waterford,01-07-2023,0.0
Aaron Ramsey,Aston Villa / Burnley,22-08-2023,16500000.0
Hannes Delcroix,Anderlecht / Burnley,22-08-2023,3000000.0
Konstantinos Mavropanos,VfB Stuttgart / West Ham United,22-08-2023,20000000.0
Prince Adegoke,Chelsea / Charlton Athletic,01-07-2023,0.0
